ingredient,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g
colocasia_stem_green_colocasia_esculenta,19.36,0.91,2.86,0.22,2.33
corn_baby_zea_mays,73.13,2.69,11.66,1.33,6.09
cucumber_green_elongate_cucumis_sativus,19.6,0.71,3.48,0.16,2.14
cucumber_green_short_cucumis_sativus,17.45,0.83,2.82,0.18,2.13
cucumber_orange_round_cucumis_sativus,19.6,0.98,3.01,0.24,2.46
drumstick_moringa_oleifera,29.4,2.62,3.76,0.12,6.83
field_beans_tender_broad_vicia_faba,30.83,3.06,2.75,0.64,5.64
field_beans_tender_lean_vicia_faba,33.46,3.71,2.85,0.6,6.19
french_beans_country_phaseolus_vulgaris,24.38,2.49,2.68,0.26,4.38
french_beans_hybrid_phaseolus_vulgaris,22.23,2.12,2.63,0.19,4.18
jack_fruit_raw_artocarpus_heterophyllus,26.29,1.98,3.48,0.35,7.69
jack_fruit_seed_mature_artocarpus_heterophyllus,76.96,5.79,11.81,0.44,8.63
knol_khol_brassica_oleracea,16.01,1.58,1.39,0.35,2.75
kovai_big_coccinia_cordifolia,17.45,1.39,2.01,0.24,3
kovai_small_coccinia_cordifolia,19.12,1.22,2.41,0.24,3.25
ladies_finger_abelmoschus_esculentus,27.49,2.08,3.62,0.22,4.08
mango_green_raw_mangifera_indica,49,0.69,10.59,0.08,3.01
onion_stalk_allium_cepa,25.57,2.07,2.99,0.26,5.21
papaya_raw_carica_papaya,23.9,0.5,4.4,0.23,2.28
parwar_trichosanthes_dioica,24.14,1.4,3.54,0.3,2.61
peas_fresh_pisum_sativum,81.26,7.25,11.88,0.13,6.32
plantain_flower_musa_x_paradisiaca,21.27,1.47,2.15,0.63,5.25
plantain_green_musa_x_paradisiaca,79.83,1.18,17.58,0.23,3.6
plantain_stem_musa_x_paradisiaca,39.44,0.35,8.64,0.16,2.12
pumpkin_green_cylindrical_cucurbita_maxima,24.62,0.87,4.22,0.18,2.53
pumpkin_orange_round_cucurbita_maxima,23.18,0.84,4,0.16,2.56
red_gram_tender_fresh_cajanus_cajan,124.28,8.09,19.46,0.92,5.9
ridge_gourd_luffa_acutangula,13.15,0.91,1.72,0.14,1.81
ridge_gourd_smooth_skin_luffa_acutangula,15.3,0.98,2.24,0.13,1.85
snake_gourd_long_pale_green_trichosanthes_anguina,12.43,0.98,1.27,0.25,2.27
snake_gourd_long_dark_green_trichosanthes_anguina,11.95,0.89,1.23,0.25,2.27
snake_gourd_short_trichosanthes_anguina,14.58,0.54,2.15,0.26,2.29
tinda_tender_praecitrullus_fistulosus,13.86,1.02,1.9,0.17,2
tomato_green_solanum_lycopersicum,20.79,1.12,3.18,0.27,1.62
tomato_ripe_hybrid_solanum_lycopersicum,18.88,0.76,3.2,0.25,1.58
